Origin,Target,Method,MAE,RMSE,MAPE_%,Family
4,Headcount,SMA(12),5.659722222222224,5.91143156503974,1.2182089595112684,SMA
4,Headcount,WMA(12),3.737179487179484,3.91485997750064,0.8038063877124113,WMA
4,Headcount,SES,3.916666681567828,4.734624249440754,0.8392059664351329,SES
4,Headcount,Holt,1.5937484064021277,1.8004988297614704,0.3428449238469771,Holt
4,Headcount,Holt-Winters,1.938521410402184,2.1529624045610936,0.4164017120476648,Holt-Winters
4,Headcount,AR(3),1.3878344329348096,1.8159929753203456,0.297261034905732,AR
4,Headcount,MA(5),3.6271762602084094,4.470690559210614,0.7770001964261394,MA
4,Headcount,"ARIMA(3,1,5)",2.234153859098152,3.0847644769364644,0.4781708404270764,ARIMA
4,Headcount,"SARIMAX(1, 1, 1, 12)",4.238608404400789,4.943108943009432,0.9090008965669786,SARIMAX
4,Headcount,"auto_arima(2, 2, 0)x(0, 0, 2, 12)",0.6743387197977029,0.8348890406260663,0.1451769147153138,auto_arima
4,Attrition_Rate_Pct,Naive,0.8791666666666668,0.9839757788346892,41.28684925677611,Naive
4,Attrition_Rate_Pct,SMA(12),0.7259722222222224,0.8192049555875864,37.85285530252893,SMA
4,Attrition_Rate_Pct,WMA(12),0.7056196581196583,0.8503113367374195,36.02038382089325,WMA
4,Attrition_Rate_Pct,SES,0.7408515623694693,0.8200888958507468,39.72686344388154,SES
4,Attrition_Rate_Pct,Holt,0.7630220916183407,0.8397142296170665,41.59332619033323,Holt
4,Attrition_Rate_Pct,Holt-Winters,0.6971762573082255,0.7708868323863362,38.36751609363032,Holt-Winters
4,Attrition_Rate_Pct,AR(3),0.6333347245714892,0.8422602031325513,25.807258362835206,AR
4,Attrition_Rate_Pct,MA(6),0.6272871385965516,0.8556501411955256,24.73329582969828,MA
4,Attrition_Rate_Pct,"ARIMA(3,0,6)",0.6492185929989144,0.802329947105185,30.52877344612932,ARIMA
4,Attrition_Rate_Pct,"SARIMAX(1, 1, 1, 12)",0.4569545516177538,0.619372845771834,20.42551546148012,SARIMAX
4,Attrition_Rate_Pct,"auto_arima(0, 1, 1)x(0, 0, 1, 12)",0.7512181315895519,0.826032191403295,40.178667027059056,auto_arima
5,Headcount,Naive,2.1666666666666665,2.798809270624444,0.4488741969650526,Naive
5,Headcount,SMA(12),10.270833333333334,10.652795885831344,2.1254444320678068,SMA
5,Headcount,WMA(12),7.845085470085475,8.151318447906746,1.6236587835120209,WMA
5,Headcount,SES,11.583333358168602,13.524668844269462,2.384899870545691,SES
5,Headcount,Holt,4.703726680889427,5.607487976587329,0.9682670615441976,Holt
5,Headcount,Holt-Winters,4.55294161175073,5.296933465306069,0.9379105459511348,Holt-Winters
5,Headcount,AR(3),7.596976565168295,9.115096508604116,1.5629608696597967,AR
5,Headcount,MA(5),10.434020391141066,12.406324812390435,2.147045512890565,MA
5,Headcount,"ARIMA(3,1,5)",7.921976955918666,9.746102686946667,1.6286513362255397,ARIMA
5,Headcount,"SARIMAX(1, 1, 1, 12)",1.0130572801488806,1.2394145232323337,0.2110027936118234,SARIMAX
5,Headcount,"auto_arima(1, 1, 2)x(0, 0, 2, 12)",3.101987292567903,3.792433730777101,0.6386433920559944,auto_arima
5,Attrition_Rate_Pct,Naive,0.8866666666666666,0.979268434427796,47.9422592633467,Naive
5,Attrition_Rate_Pct,SMA(12),0.5167361111111112,0.6636071723291322,32.93936534345273,SMA
5,Attrition_Rate_Pct,WMA(12),0.5608226495726496,0.684331721019886,34.967903906950504,WMA
5,Attrition_Rate_Pct,SES,0.5543967408043389,0.6786204962936943,37.16716131220048,SES
5,Attrition_Rate_Pct,Holt,0.5701135785702967,0.6955371591639083,38.56483343143829,Holt
5,Attrition_Rate_Pct,Holt-Winters,0.6422075672425707,0.7831497354564783,43.7702199260352,Holt-Winters
5,Attrition_Rate_Pct,AR(3),0.4882446690729199,0.6512041723224691,28.91249435943266,AR
5,Attrition_Rate_Pct,MA(6),0.4947067701426937,0.666543544789662,28.21474932711936,MA
5,Attrition_Rate_Pct,"ARIMA(3,0,6)",0.5077425481208987,0.6669498506213665,32.66135641248468,ARIMA
5,Attrition_Rate_Pct,"SARIMAX(1, 1, 1, 12)",0.6118992434148826,0.7226100110252925,40.07349926666407,SARIMAX
5,Attrition_Rate_Pct,"auto_arima(0, 1, 1)x(0, 0, 1, 12)",0.4911379698956555,0.6383765218028274,33.50014964890638,auto_arima
6,Headcount,Naive,2.583333333333333,2.8431203515386634,0.5056418630268262,Naive
6,Headcount,SMA(12),15.583333333333323,15.647187949939774,3.057156990206445,SMA
6,Headcount,WMA(12),11.38461538461538,11.458565982934896,2.233089901615667,WMA
6,Headcount,SES,15.250000044703484,17.69887005894603,2.964503045720845,SES
6,Headcount,Holt,1.8989058492752235,2.197078918975083,0.3723268987540641,Holt
6,Headcount,Holt-Winters,2.049145011308473,2.3984767994783827,0.4009793082455806,Holt-Winters
6,Headcount,AR(3),4.649335173632788,6.2436869391373975,0.8994186308627613,AR
6,Headcount,MA(5),11.380297125964908,14.128392107256118,2.20662053247114,MA
6,Headcount,"ARIMA(3,1,5)",5.570440479668751,7.658656161014231,1.0768106818031469,ARIMA
6,Headcount,"SARIMAX(1, 1, 1, 12)",1.184753395806273,1.4821897119202705,0.2308524264980426,SARIMAX
6,Headcount,"auto_arima(1, 1, 2)x(2, 0, 0, 12)",2.598440698449702,3.569978427249897,0.5028630284737358,auto_arima
6,Attrition_Rate_Pct,Naive,0.64,0.8020806277010644,40.194578886064775,Naive
6,Attrition_Rate_Pct,SMA(12),0.5686111111111111,0.6731239360870576,31.85081454597562,SMA
6,Attrition_Rate_Pct,WMA(12),0.5886752136752137,0.6864146963225913,33.285289302284085,WMA
6,Attrition_Rate_Pct,SES,0.5691666666666667,0.642612980851134,30.82428531953836,SES
6,Attrition_Rate_Pct,Holt,0.5687681580829423,0.6393760561239538,31.27387401776421,Holt
6,Attrition_Rate_Pct,Holt-Winters,0.6599865398176473,0.8071544338281338,37.836323946278725,Holt-Winters
6,Attrition_Rate_Pct,AR(3),0.5680012895784307,0.7103744784912425,27.07916593781963,AR
6,Attrition_Rate_Pct,MA(7),0.5913747373328837,0.7451960141310782,27.508066721553565,MA
6,Attrition_Rate_Pct,"ARIMA(3,0,7)",0.5487934350616197,0.6693961130809389,27.53832352498012,ARIMA
6,Attrition_Rate_Pct,"SARIMAX(1, 1, 1, 12)",0.648858236628795,0.8241116236187997,36.3886640768652,SARIMAX
6,Attrition_Rate_Pct,"auto_arima(0, 1, 1)x(0, 0, 1, 12)",0.5570308420655553,0.6581478517699703,30.00772246313027,auto_arima
